ID,START_ALARM_TIME,STOP_ALARM_TIME,INTERVAL
1,21:07:00,21:20:00,0:05:00
2,21:24:00,21:30:00,0:05:00
3,21:42:00,21:50:00,0:05:00
4,21:44:00,21:50:00,0:05:00
5,21:46:00,21:55:00,0:05:00
6,21:48:00,21:55:00,0:05:00
7,22:01:00,22:10:00,0:05:00
8,22:08:00,22:15:00,0:05:00
9,22:12:00,22:20:00,0:05:00
10,22:15:00,22:20:00,0:05:00
11,22:21:00,22:30:00,0:05:00
12,22:21:00,22:30:00,0:05:00
13,22:23:00,22:30:00,0:05:00
14,22:23:00,22:30:00,0:05:00
15,22:25:00,22:30:00,0:05:00
16,22:26:00,22:30:00,0:05:00
17,22:31:00,22:40:00,0:05:00
18,22:35:00,22:40:00,0:05:00
19,22:38,22:45,0:05:00
20,22:40:00,22:45:00,0:05:00
21,22:53:00,22:59:00,0:05:00
